ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-10847,"06/24/2023, 9:37:00 PM","07/23/2023, 4:43:00 PM",NEW WESTMINSTER,BC,V3L 1V5,300 Block PRINCESS ST,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY
23-80222,"06/30/2023, 10:00:00 AM","07/13/2023, 4:07:46 PM",NEW WESTMINSTER,BC,V3L 1K8,100 Block COLLEGE CRT,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-80216,"06/22/2023, 9:00:00 PM","07/11/2023, 4:31:55 PM",NEW WESTMINSTER,BC,V3L 2Y7,1 Block ST & COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-80214,"06/30/2023, 5:25:00 PM","07/08/2023, 4:35:01 PM",NEW WESTMINSTER,BC,V3M 6G2,900 Block QUAYSIDE DR,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10911,"06/28/2023, 8:57:00 PM","07/06/2023, 4:53:42 PM",NEW WESTMINSTER,BC,V3M 1E6,ALEXANDER ST & CARNARVON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10845,"06/19/2023, 9:08:00 PM","07/05/2023, 4:46:31 PM",NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER
23-10705,"07/01/2023, 3:00:00 AM","07/03/2023, 5:02:04 PM",NEW WESTMINSTER,BC,V3M 6Y2,200 Block 7TH ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000
23-10706,"06/25/2023, 7:00:00 AM","07/03/2023, 5:02:05 PM",NEW WESTMINSTER,BC,V3L 3C5,600 Block 7TH AVE,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS
23-10591,"06/30/2023, 9:25:00 PM","07/02/2023, 4:11:49 PM",NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
23-10582,"06/30/2023, 8:03:00 PM","07/02/2023, 4:11:49 PM",NEW WESTMINSTER,BC,V3L 2Y4,800 Block 5TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-10590,"06/30/2023, 9:17:00 PM","07/02/2023, 4:11:49 PM",NEW WESTMINSTER,BC,V3L 3C8,900 Block 6TH ST,THEFT FROM MV OVER $5000,Theft from Vehicle,THEFT FROM MV OVER $5000
23-10500,"06/24/2023, 1:53:00 AM","07/02/2023, 4:11:49 PM",NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-SHOPLIFTING OVER $5000,Theft,THEFT-SHOPLIFTING OVER $5000
23-10635,"07/01/2023, 5:48:00 AM","07/02/2023, 4:11:48 PM",NEW WESTMINSTER,BC,V3L 1L9,300 Block 3RD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER
