,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
0,9,23-5033,2023-04-01 04:00:00+00:00,2023-04-02 16:35:16+00:00,NEW WESTMINSTER,BC,V3M 1K8,1000 Block AUCKLAND ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2026194,-122.9183115,659
707,1365,23-5066,2023-04-01 15:36:00+00:00,2023-04-02 16:35:16+00:00,NEW WESTMINSTER,BC,V3M 1E9,200 Block CARNARVON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2030916,-122.9104439,660
705,1363,23-5067,2023-04-01 16:26:00+00:00,2023-04-02 16:35:16+00:00,NEW WESTMINSTER,BC,V3M 1E9,200 Block CARNARVON ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2030916,-122.9104439,661
706,1364,23-5068,2023-04-01 16:32:00+00:00,2023-04-02 16:35:16+00:00,NEW WESTMINSTER,BC,V3L 1P3,600 Block 4TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2100848,-122.9164009,662
704,1362,23-5086,2023-04-01 22:06:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3L 4T5,200 Block CHURCHILL AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2295387,-122.9069842,663
701,1359,23-5106,2023-04-02 00:00:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3L 1G2,400 Block AGNES ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2060118,-122.9073511,664
697,1355,23-5092,2023-04-02 00:02:00+00:00,2023-04-03 16:34:14+00:00,NEW WESTMINSTER,BC,V3M 1M1,QUEENS AVE & 10TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2036075,-122.9193075,665
629,1287,23-5094,2023-04-02 00:26:00+00:00,2023-04-17 16:27:49+00:00,NEW WESTMINSTER,BC,V3L,400 Block CUNNINGHAM ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2066048,-122.9078571,666
689,1347,23-5201,2023-04-02 01:00:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3L 4M8,800 Block CHERRY ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2285428,-122.901488,667
703,1361,23-5114,2023-04-02 02:30:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3L,500 Block CARNARVON ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.2045585,-122.9075651,668
700,1358,23-5115,2023-04-02 04:28:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3M 1E9,200 Block CARNARVON ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2030916,-122.9104439,669
698,1356,23-5118,2023-04-02 05:36:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3M,200 Block ASH ST,MISCHIEF OVER $5000,Property Crime,MISCHIEF OVER $5000,49.2058328,-122.9156357,670
699,1357,23-5128,2023-04-02 07:36:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3M,1100 Block TANAKA CRT,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.1870082,-122.9514463,671
693,1351,23-80109,2023-04-02 10:40:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3M 4G2,500 Block 11TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2069803,-122.9274512,672
694,1352,23-5173,2023-04-02 16:00:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3L 3S2,400 Block GARRETT ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2280161,-122.8886444,673
702,1360,23-5135,2023-04-02 18:01:00+00:00,2023-04-03 16:34:13+00:00,NEW WESTMINSTER,BC,V3L 3V8,100 Block E COLUMBIA ST,FRAUD-IDENTITY,Property Crime,FRAUD-IDENTITY,49.2220555,-122.8931794,674
686,1344,23-5200,2023-04-02 22:30:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M 2B8,600 Block 10TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.20944069999999,-122.9271446,675
696,1354,23-5174,2023-04-03 15:24:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3M 4G2,500 Block 11TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2069803,-122.9274512,676
695,1353,23-5175,2023-04-03 16:06:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3L 3B3,600 Block 5TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2116231,-122.9185996,677
670,1328,23-5435,2023-04-03 19:00:00+00:00,2023-04-08 16:58:56+00:00,NEW WESTMINSTER,BC,V3L 3W4,300 Block E COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2250787,-122.8929076,678
666,1324,23-5447,2023-04-03 19:00:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3M 3X8,1000 Block QUEENS AVE,FRAUD-OTHER,Property Crime,FRAUD-OTHER,49.2026763,-122.9204665,679
688,1346,23-5203,2023-04-03 23:03:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M 2B3,700 Block 6TH AVE,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.212103,-122.9218972,680
687,1345,23-5209,2023-04-04 00:45:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3L 2B8,800 Block MCBRIDE BLVD,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2225852,-122.914627,681
690,1348,23-5220,2023-04-04 03:30:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M,1000 Block TANAKA CRT,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.1870082,-122.9514463,682
691,1349,23-5219,2023-04-04 04:30:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M 6P3,EWEN AVE & WOOD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.18932909999999,-122.9393851,683
581,1239,23-5233,2023-04-04 10:43:00+00:00,2023-04-25 16:06:43+00:00,NEW WESTMINSTER,BC,V3L 1B2,999900 Block UNKNOWN,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2057179,-122.910956,684
