,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude
0,2,23-4694,2023-03-16 21:52:00+00:00,2023-04-10 16:12:59+00:00,NEW WESTMINSTER,BC,V3M 5K4,200 Block WOOD ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.1868621,-122.9369995
1,3,23-4173,2023-03-30 18:27:00+00:00,2023-04-09 16:54:08+00:00,NEW WESTMINSTER,BC,V3M 5L9,200 Block HAMPTON ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.18324699999999,-122.9459298
2,4,23-4958,2023-03-30 19:00:00+00:00,2023-04-06 16:08:08+00:00,NEW WESTMINSTER,BC,V3M 2P6,2000 Block HAMILTON ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000,49.2020478,-122.9479038
3,5,23-5306,2023-03-31 06:51:00+00:00,2023-04-05 16:51:16+00:00,NEW WESTMINSTER,BC,V3M 1M4,200 Block 10TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2036315,-122.9198456
4,6,23-4989,2023-03-31 12:30:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3M 6H1,1100 Block QUAYSIDE DR,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.20055,-122.924757
5,7,23-4995,2023-03-20 07:01:00+00:00,2023-04-04 16:26:34+00:00,NEW WESTMINSTER,BC,V3L 1B1,500 Block COLUMBIA ST,ARSON-PROPERTY,Other,ARSON-PROPERTY,49.203895,-122.906557
6,9,23-5033,2023-04-01 04:00:00+00:00,2023-04-02 16:35:16+00:00,NEW WESTMINSTER,BC,V3M 1K8,1000 Block AUCKLAND ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2026194,-122.9183115
7,10,23-5069,2023-03-29 17:50:00+00:00,2023-04-01 17:02:41+00:00,NEW WESTMINSTER,BC,V3L,300 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2086143,-122.9149601
8,11,23-5015,2023-03-31 18:30:00+00:00,2023-04-01 17:02:41+00:00,NEW WESTMINSTER,BC,V3M 2V3,800 Block EDINBURGH ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.2144383,-122.9286824
9,12,23-5019,2023-03-30 22:19:00+00:00,2023-04-01 17:02:41+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2057179,-122.910956
10,13,23-4975,2023-03-31 18:19:00+00:00,2023-04-01 17:02:41+00:00,NEW WESTMINSTER,BC,V3M 4W6,800 Block 20TH ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.202856,-122.9485866
