,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
615,657,23-43,2023-01-01 00:00:00+00:00,2023-01-03 00:00:00+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.190715,-122.9449051,1
650,650,23-103,2023-01-01 07:28:00+00:00,2023-01-04 17:45:30+00:00,NEW WESTMINSTER,BC,V3M 2C9,1700 Block 6TH AVE,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.203011,-122.9386987,2
589,619,23-326,2023-01-01 12:00:00+00:00,2023-01-07 17:50:10+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2000823,-122.9174235,3
654,655,23-30,2023-01-01 19:42:00+00:00,2023-01-03 17:49:30+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,4
653,654,23-107,2023-01-01 21:39:00+00:00,2023-01-03 17:49:30+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.200145,-122.911488,5
616,658,23-72,2023-01-02 00:00:00+00:00,2023-01-03 00:00:00+00:00,NEW WESTMINSTER,BC,V3M 4X3,900 Block 20TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2047347,-122.9511062,6
655,656,23-26,2023-01-02 03:37:00+00:00,2023-01-03 17:49:30+00:00,NEW WESTMINSTER,BC,V3L 3L4,300 Block HOSPITAL ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2264586,-122.8928729,7
646,646,23-116,2023-01-02 04:05:00+00:00,2023-01-04 17:45:30+00:00,NEW WESTMINSTER,BC,V3L,300 Block 4TH AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2119635,-122.9130339,8
647,647,23-80003,2023-01-02 09:00:00+00:00,2023-01-04 17:45:31+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2131309,-122.9208405,9
648,648,23-86,2023-01-02 20:47:00+00:00,2023-01-04 17:45:30+00:00,NEW WESTMINSTER,BC,V3L,200 Block ELGIN ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.2147661,-122.9118073,10
