ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
23-16536,"09/29/2023, 8:29:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M 1A9,700 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-16521,"09/29/2023, 4:08:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M,800 Block 13TH ST,FRAUD-MONEY/PROP/SEC>$5000,Property Crime,FRAUD-MONEY/PROP/SEC>$5000
23-16405,"09/27/2023, 11:05:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3L 3C8,800 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-16528,"09/29/2023, 6:45:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-16511,"09/29/2023, 3:15:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M 6R5,VICTORIA ST & 10TH ST,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000
23-16519,"09/29/2023, 3:30:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M 3H1,2200 Block 9TH AVE,RECOVERED OUTSIDE STOLEN VEH,Vehicle Recovery,RECOVERED OUTSIDE STOLEN VEH
23-16547,"09/29/2023, 10:00:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,V3M 4W6,800 Block 20TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
23-16463,"09/28/2023, 9:54:00 PM","09/30/2023, 5:00:42 PM",NEW WESTMINSTER,BC,.,BRAID ST,THEFT-OTHER OVER $5000,Theft,THEFT-OTHER OVER $5000
23-16340,"09/26/2023, 11:59:00 PM","09/29/2023, 4:05:52 PM",NEW WESTMINSTER,BC,V3L,JACK MAHONY PL,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000
23-16419,"09/28/2023, 4:16:00 AM","09/29/2023, 4:05:52 PM",NEW WESTMINSTER,BC,V3L 3W7,400 Block E COLUMBIA ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000
