,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
762,2132,23-10725,2023-07-03 01:39:00+00:00,2023-07-04 16:25:36+00:00,NEW WESTMINSTER,BC,V3M 3Y2,1 Block ST & CORNWALL ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.2053422,-122.9233067,1366
764,2134,23-10750,2023-07-03 07:16:00+00:00,2023-07-04 16:25:36+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2124082,-122.921433,1367
743,2113,23-10891,2023-07-03 09:30:00+00:00,2023-07-06 16:53:42+00:00,NEW WESTMINSTER,BC,V3L 4R9,800 Block JACKSON CRES,BREAK & ENTER-RESIDENCE,Breaking & Entering,BREAK & ENTER-RESIDENCE,49.22513,-122.90836,1368
761,2131,23-10762,2023-07-03 16:09:00+00:00,2023-07-04 16:25:36+00:00,NEW WESTMINSTER,BC,V3M 6G2,1000 Block QUAYSIDE DR,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.19977249999999,-122.9135973,1369
763,2133,23-10763,2023-07-03 16:30:00+00:00,2023-07-04 16:25:36+00:00,NEW WESTMINSTER,BC,V3M 1T4,1000 Block 4TH AVE,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.20640239999999,-122.9232777,1370
760,2130,23-10767,2023-07-03 18:33:00+00:00,2023-07-04 16:25:36+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT BICYCLE UNDER $5000,Theft,THEFT BICYCLE UNDER $5000,49.2057179,-122.910956,1371
741,2111,23-80209,2023-07-03 19:00:00+00:00,2023-07-07 16:24:47+00:00,NEW WESTMINSTER,BC,V3M,500 Block 9TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2089125,-122.9245291,1372
759,2129,23-10784,2023-07-03 22:17:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M,1000 Block COLUMBIA ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2000823,-122.9174235,1373
756,2126,23-10810,2023-07-04 05:02:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M,900 Block 5TH AVE,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.208304,-122.924297,1374
758,2128,23-10814,2023-07-04 06:03:00+00:00,2023-07-05 16:46:31+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.200145,-122.911488,1375
