,id,ccn,date,update_date,city,province,postal_code,address,incident,incident_class,narrative,latitude,longitude,crimeCommitted
656,2795,23-16666,2023-10-02 00:35:00+00:00,2023-10-03 16:33:37+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,THEFT OF AUTO UNDER $5000,Theft of Vehicle,THEFT OF AUTO UNDER $5000,49.190715,-122.9449051,2130
657,2796,23-16672,2023-10-02 01:47:00+00:00,2023-10-03 16:33:37+00:00,NEW WESTMINSTER,BC,V3M 3S2,600 Block 6TH AVE,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2124082,-122.921433,2131
655,2794,23-80325,2023-10-02 06:15:00+00:00,2023-10-03 16:33:37+00:00,NEW WESTMINSTER,BC,V3M,800 Block ROYAL AVE,THEFT FROM MV UNDER $5000,Theft from Vehicle,THEFT FROM MV UNDER $5000,49.203668,-122.9145708,2132
652,2791,23-16688,2023-10-02 14:03:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3M 6Z6,800 Block QUAYSIDE DR,BREAK & ENTER-BUSINESS,Breaking & Entering,BREAK & ENTER-BUSINESS,49.200145,-122.911488,2133
649,2788,23-16698,2023-10-02 19:04:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3M 5G7,800 Block BOYD ST,MISCHIEF $5000 OR UNDER,Property Crime,MISCHIEF $5000 OR UNDER,49.190715,-122.9449051,2134
648,2787,23-16700,2023-10-02 19:40:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3M 0E7,200 Block BROOKES ST,BREAK & ENTER-OTHER,Breaking & Entering,BREAK & ENTER-OTHER,49.1937219,-122.9238071,2135
647,2786,23-16710,2023-10-02 22:32:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.2131309,-122.9208405,2136
654,2793,23-16715,2023-10-02 23:04:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3L 3C2,600 Block 6TH ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2131309,-122.9208405,2137
650,2789,23-16716,2023-10-02 23:13:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3L 3C5,700 Block 6TH ST,THEFT-SHOPLIFTING UNDER $5000,Theft,THEFT-SHOPLIFTING UNDER $5000,49.21444630000001,-122.9224269,2138
653,2792,23-16735,2023-10-03 08:07:00+00:00,2023-10-04 16:13:14+00:00,NEW WESTMINSTER,BC,V3M,1 Block ST,THEFT-OTHER UNDER $5000,Theft,THEFT-OTHER UNDER $5000,49.2057179,-122.910956,2139
