date,ds,y,incident_ARSON-PROPERTY,incident_BREAK & ENTER-BUSINESS,incident_BREAK & ENTER-OTHER,incident_BREAK & ENTER-RESIDENCE,incident_FRAUD-FORGERY,incident_FRAUD-IDENTITY,incident_FRAUD-MONEY/PROP/SEC>$5000,incident_FRAUD-OTHER,incident_FRAUD-UTTER FORGED DOCUMENTS,incident_MISCHIEF $5000 OR UNDER,incident_MISCHIEF OVER $5000,incident_RECOVERED OUTSIDE STOLEN VEH,incident_ROBBERY W/OTHER OFFENSIVE WPN,incident_ROBBERY-OTHER,incident_TAKE AUTO W/O CONSENT O/$5000,incident_THEFT BICYCLE OVER $5000,incident_THEFT BICYCLE UNDER $5000,incident_THEFT FROM MV OVER $5000,incident_THEFT FROM MV UNDER $5000,incident_THEFT MOTORCYCLE UNDER $5000,incident_THEFT OF AUTO OVER $5000,incident_THEFT OF AUTO UNDER $5000,incident_THEFT OF TRUCK OVER $5000,incident_THEFT OF TRUCK UNDER $5000,incident_THEFT OTHER VEHICLE U/$5000,incident_THEFT-OTHER OVER $5000,incident_THEFT-OTHER UNDER $5000,incident_THEFT-SHOPLIFTING OVER $5000,incident_THEFT-SHOPLIFTING UNDER $5000
2023-01-01 00:00:00+00:00,2023-01-01 00:00:00,-122.9449051,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2023-01-01 07:28:00+00:00,2023-01-01 07:28:00,-122.9386987,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-01 12:00:00+00:00,2023-01-01 12:00:00,-122.9174235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023-01-01 19:42:00+00:00,2023-01-01 19:42:00,-122.9208405,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2023-01-01 21:39:00+00:00,2023-01-01 21:39:00,-122.911488,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-02 00:00:00+00:00,2023-01-02 00:00:00,-122.9511062,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023-01-02 03:37:00+00:00,2023-01-02 03:37:00,-122.8928729,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023-01-02 04:05:00+00:00,2023-01-02 04:05:00,-122.9130339,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023-01-02 09:00:00+00:00,2023-01-02 09:00:00,-122.9208405,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-02 20:47:00+00:00,2023-01-02 20:47:00,-122.9118073,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
