van,date,onsite
NF5623,"07/17/2025, 6:00:00 PM",0
RE3615,"07/17/2025, 6:00:00 PM",0
NF5623,"07/19/2025, 7:00:00 PM",0
RE3615,"07/19/2025, 7:00:00 PM",0
NF5623,"07/21/2025, 8:00:00 PM",0
RE3615,"07/21/2025, 8:00:00 PM",0
NF5623,"07/23/2025, 6:00:00 PM",0
RE3615,"07/23/2025, 6:00:00 PM",0
NF5623,"07/25/2025, 7:00:00 PM",0
RE3615,"07/25/2025, 7:00:00 PM",0
NF5623,"07/27/2025, 8:00:00 PM",0
RE3615,"07/27/2025, 8:00:00 PM",0
NF5623,"07/29/2025, 6:00:00 PM",0
RE3615,"07/29/2025, 6:00:00 PM",0
NF5623,"07/30/2025, 7:00:00 PM",0
RE3615,"07/30/2025, 7:00:00 PM",0
NF5623,"07/31/2025, 8:00:00 PM",0
RE3615,"07/31/2025, 8:00:00 PM",0
